date,hits,keyword,geo,time,gprop,category,term,state,time_span
2023-01-01T00:00:00Z,85,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-01-08T00:00:00Z,80,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-01-15T00:00:00Z,84,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-01-22T00:00:00Z,83,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-01-29T00:00:00Z,85,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-02-05T00:00:00Z,80,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-02-12T00:00:00Z,84,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-02-19T00:00:00Z,87,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-02-26T00:00:00Z,79,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-03-05T00:00:00Z,85,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-03-12T00:00:00Z,83,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-03-19T00:00:00Z,77,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-03-26T00:00:00Z,82,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-04-02T00:00:00Z,89,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-04-09T00:00:00Z,94,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-04-16T00:00:00Z,85,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-04-23T00:00:00Z,83,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-04-30T00:00:00Z,87,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-05-07T00:00:00Z,88,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-05-14T00:00:00Z,95,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-05-21T00:00:00Z,92,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-05-28T00:00:00Z,93,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-06-04T00:00:00Z,96,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-06-11T00:00:00Z,95,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-06-18T00:00:00Z,94,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-06-25T00:00:00Z,95,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-07-02T00:00:00Z,94,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-07-09T00:00:00Z,92,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-07-16T00:00:00Z,91,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-07-23T00:00:00Z,100,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-07-30T00:00:00Z,88,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-08-06T00:00:00Z,96,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-08-13T00:00:00Z,91,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-08-20T00:00:00Z,89,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-08-27T00:00:00Z,82,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-09-03T00:00:00Z,91,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-09-10T00:00:00Z,86,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-09-17T00:00:00Z,81,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-09-24T00:00:00Z,82,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-10-01T00:00:00Z,86,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-10-08T00:00:00Z,83,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-10-15T00:00:00Z,81,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-10-22T00:00:00Z,86,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-10-29T00:00:00Z,80,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-11-05T00:00:00Z,85,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-11-12T00:00:00Z,80,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
2023-11-19T00:00:00Z,88,xvideos,US-LA,2023-01-01 2024-10-31,web,0,xvideos,LA,2023-01-01 2024-10-31
